firstname,rightname,first_location,second_location,third_location,phone,link
TD Rohstoffhandel Haidhof GmbH & Co. KG,Top Partner,Schrott,"Ziegelholz 20,",93158 Teublitz,09471 30 45-0,
Weidner Götz Pelze - Leder - Kürschnerei & Lederschneiderei,Top Partner,Pelze und Pelzwaren,"Grüne Str. 1,",19055 Schwerin,,
Weidner Götz Pelze u. Leder Kürschnerei,Top Partner,Kürschnereien,"Grüne Str. 1,",19055 Schwerin,0151 22 93 09 76,
Weidner Pelze & Leder Schwerin,Top Partner,Pelze und Pelzwaren,"Grüne Str. 1,",19055 Schwerin,0385 5 93 29 78,
AUA Rohstoffhandel GmbH & Co. KG Schrott,Top Partner,Schrott,"Liebigstr. 64,",22113 Hamburg,040 73 60 90-30,
AHG Autohandelsgesellschaft mbH Automobilhandel,Top Partner,Automobile,"Frankfurter Str. 6,",71732 Tamm,07141 3 00 00,
Alba Sachsen GmbH,Top Partner,Containerdienste,"Rückmarsdorfer Str. 31,",04179 Leipzig,0341 4 48 14 27,https://www.alba.info/standorte/oschatz/alba-sachsen-gmbh.html
Cortek GmbH,Top Partner,Containerdienste,"Johann‑Reis‑Str. 25,",06667 Weißenfels,03443 39 27-0,http://www.cortek.de
Friedrich Gerosa Heizöl - Diesel / Friedrich Gerosa Transporte,Top Partner,Brennstoffe,"Friedrich‑Bauer‑Str. 22,",73642 Welzheim,07182 26 74,http://www.fritzgerosa.de
Hagedorn GmbH,Top Partner,Abbrucharbeiten,"Werner‑von‑Siemens‑Str. 18,",33334 Gütersloh,05241 5 00 51-0,http://www.abbruch-hagedorn.de
Henk GmbH & Co. KG Recyclingunternehmen,Top Partner,Containervermietung,"Siemensstraße 25‑27,",74722 Buchen (Odenwald),06281 83 16,http://www.schrottplatz.de/
Herrmann,Top Partner,Containerdienste,"Wilkenburger Str. 8,",30519 Hannover,0511 2 28 41 42,http://www.herrmann-container.de
Heuer,Top Partner,Tankreinigung und -schutz,"Försterstr. 33a,",27755 Delmenhorst,04221 28 95 00,http://www.entsorgung-heuer.de
Jakob Becker Entsorgungs-GmbH,Top Partner,Entsorgungsbetriebe,"Otto‑Hahn‑Str. 50,",68169 Mannheim,0621 3 24 70 69-0,http://www.jakob-becker.de
Kalb Erd- und Tiefbau GmbH & Co. KG Baggerarbeiten,Top Partner,Baggerarbeiten,"Am Baumgarten 2,",91220 Schnaittach,09126 79 17,
Knoop Ulrich,Top Partner,Haushaltsauflösungen,"Heinrich‑Kraak‑Str. 62,",33617 Bielefeld,0160 5 92 05 19,
Müller O. GmbH & Co. KG,Top Partner,Schrott,"Wohlenbergstr. 30‑34,",30179 Hannover,0511 9 68 81-0,http://www.otto-mueller.com
Otto Dörner Entsorgung GmbH Containerdienst,Top Partner,Alt- und Abfallstoffe,"Fischerhof 28,",30449 Hannover,0511 9 29 95-0,http://www.doerner.de
Peter Fante GmbH,Top Partner,Heizöle,"Ringstr. 100,",91126 Rednitzhembach,09122 7 89 23,
S.Anders,Top Partner,Schrott,"Kornstr. 13,",30167 Hannover,0176 83 83 83 68,
Saab Servicepartner,Top Partner,Automobile,"Harnis 1,",24937 Flensburg,0461 1 24 38,
Heß Gerhard Schrott Abbrüche,Top Partner,Schrott,"Am Bahnhof 3,",96328 Küps,09264 15 10,
AHG Hoffmann GmbH & Co. KG,Top Partner,Automobile,"Frankfurter Str. 6,",71732 Tamm,07141 30 00-0,
BMW - MINI Autohaus STADAC Automobilgesellschaft,Top Partner,Automobile,"Beimoorkamp 2,",22926 Ahrensburg,04102 2 07 77-0,
DomoCare Döhrn GmbH,Top Partner,Bautenschutz,"Zedernweg 77,",46487 Wesel,0281 1 64 66 60,
Ferrer e.K.,Top Partner,Autovermietung,"Schwarzenbeker Landstr. 11,",21039 Börnsen,040 7 20 21 98,
Ferrer e.K.,Top Partner,Autovermietung,"Schwarzenbeker Landstr. 11,",21039 Börnsen,040 73 92 47 24,
Ferrer e.K.,Top Partner,Autovermietung,"Schwarzenbeker Landstr. 11,",21039 Börnsen,,
"Ferrer e.K. Reifen-Handel, LKW-Handel, LKW-Vermietung",Top Partner,Autoreparaturen,"Segeberger Chaussee 131,",22851 Norderstedt,040 5 24 12 90,
"Ferrer e.K. Reifen-Handel, LKW-Handel, LKW-Vermietung",Top Partner,Autoreparaturen,"Segeberger Chaussee 131,",22851 Norderstedt,,
Fiedler Dietmar,Top Partner,Containerdienste,"Krühgarten 50,",38228 Salzgitter,05341 5 00 90,http://www.fiedler-container.de
Holst & Pieper GmbH Reifenhandel,Top Partner,Reifen,"Eidelstedter Weg 18,",20255 Hamburg,040 56 38 06,
Rad ab Fahrradgeschäft,Top Partner,Fahrräder und Zubehör,"Friedrichstr. 112,",40217 Düsseldorf,0211 33 44 42,
Rad ab Fahrradgeschäft,Top Partner,Fahrräder und Zubehör,"Friedrichstr. 112,",40217 Düsseldorf,0211 33 66 61,
Rhönschotter GmbH,Top Partner,Naturstein,"Industriestr. 1,",97789 Oberleichtersbach,09741 9 30 45 65,
Rhönschotter GmbH,Top Partner,Steinbrüche,"Josef‑Helfrich‑Str. 19,",97789 Oberleichtersbach,09741 93 09 93 12,
"Schmitt GmbH Erd-, Straßen-,",Top Partner,Tiefbau,"Obere Hauptstr. 28,",97241 Bergtheim,09367 37 76,
Stadtreinigung Hamburg,Top Partner,Entsorgungsbetriebe,,20537 Hamburg,040 2 57 60,
Stadtreinigung Hamburg Stadtreinigung,Top Partner,Entsorgungsbetriebe,"Bullerdeich 19,",20537 Hamburg,040 25 76-25 76,
Stadtreinigung Hamburg Stadtreinigung,Top Partner,Entsorgungsbetriebe,"Bullerdeich 19,",20537 Hamburg,040 25 76-20 00,
Stadtreinigung Hamburg Stadtreinigung,Top Partner,Entsorgungsbetriebe,"Bullerdeich 19,",20537 Hamburg,040 25 76-27 99,
Tigeno-Holz GmbH & Co. KG Holzfachhandel,Top Partner,Holz und Holzwaren,"Max‑Planck‑Str. 3,",24941 Flensburg,0461 99 72-0,
Turepa UG (haftungsbeschränkt),Top Partner,Paletten,"Ostdamm 157,",48249 Dülmen,02594 9 91 73 97,http://www.turepa.de
Hartweg Rohstoff-Recycling GmbH Metallgroßhandel,Top Partner,Metalle und Metallhalbzeuge,"Traveweg 2‑4A,",23569 Lübeck,,
Remondis GmbH,Top Partner,Containerdienste,"Feldbergstr. 16,",79689 Maulburg,07622 6 66 83-0,http://www.der-fix.de
Container Kraus GmbH Containerdienst,Top Partner,Container,"Färberstr. 3,",92670 Windischeschenbach,09681 92 05-0,
Dienstbier GmbH & Co. Tiefbauunternehmen KG,Top Partner,Tiefbau,"Losaurach 21,",91459 Markt Erlbach,09161 20 40,
Friedrich Herz,Top Partner,Transporte,"Esbacher Weg 16,",91555 Feuchtwangen,09852 67 89-0,
Friedrich Herz GmbH & Co. KG,Top Partner,Transporte,"Esbacher Weg 16,",91555 Feuchtwangen,09852 9 08 34 10,
Friedrich Herz GmbH & Co. KG,Top Partner,Transporte,"Esbacher Weg 16,",91555 Feuchtwangen,09852 9 08 79 34,
Heinrich Schmitz GmbH & Co. KG,Top Partner,Schrott,"Uhlandstr. 20,",42549 Velbert,02051 96 48-0,
"Köster, Fuhrunternehmen und Handels-GmbH & Co. KG, Heinrich",Top Partner,Transporte,"Fritz‑Thiele‑Str. 8,",28279 Bremen,0421 83 36 38,http://www.Koester-sand.de
Lauer Transportunternehmen,Top Partner,Transporte,,91275 Auerbach,09643 12 82,
Otto Stops GmbH & Co. KG Abbrucharbeiten,Top Partner,Abbrucharbeiten,"Monschauer Str. 28,",41068 Mönchengladbach,02161 3 53 92-0,
Rhenus Data Office GmbH,Top Partner,Aktenvernichtung,"Kanalweg 1A,",26382 Wilhelmshaven,04421 99 13-0,http://www.aktenvernichtung.de
Strobl GmbH Entsorgungsfachbetrieb,Top Partner,Entsorgungsbetriebe,"Heinrich‑Hertz‑Str. 6,",92224 Amberg,09621 32 00 31,
Alpers GmbH Joachim,Top Partner,Entsorgungsbetriebe,"Dinghorner Str. 125,",21717 Fredenbeck,04149 2 77 72-0,http://www.joachim-alpers.de
ASF Recyclinghof Schleswig,Top Partner,Wertstoffhöfe,"Haferteich 15,",24837 Schleswig,04621 5 44 40,
Engl Schalungsverleih u. Baggerbetrieb GmbH,Top Partner,Baggerarbeiten,"Harthauser Str. 4,",83109 Großkarolinenfeld,08031 9 45 42,http://www.baggerbetrieb-engl.de
Autoprofi Reverey KFZ-Werkstatt,Top Partner,Autoreparaturen,"Ringstr. 26,",23758 Oldenburg in Holstein,04361 50 78 58,
"CONTAINERDIENST-STOCKSTADT GmbH & Co. KG, Transporte",Top Partner,Container,"Seligenstädter Str.,",63811 Stockstadt,06027 33 23,
Cremer H. W. Schrottgroßhandel GmbH,Top Partner,Schrott,"Güterbahnhof Loh,",42283 Wuppertal,0202 8 48 10,
Fiege Umweltservice,Top Partner,Entsorgungsbetriebe,"Steinkuhler Weg 18,",59505 Bad Sassendorf,02921 58 58,
Nehlsen AG,Top Partner,Entsorgungsbetriebe,"Oken 3,",28219 Bremen,0421 62 66-0,http://www.nehlsen.com
Wertstoffhof der AW SAS-AöR,Top Partner,Wertstoffhöfe,"Markwerbener Str. 24,",06667 Weißenfels,03443 27 90 37,http://www.zawsas.de
Baustoff- u. Betonwerke Otto,Top Partner,Sand und Kies,"Staustufe 20,",97291 Thüngersheim,09364 80 88-0,
Benkert Otto Baustoff- u. Betonwerke Inh. Helmut Benkert e.K.,Top Partner,Sand und Kies,"Staustufe 20,",97291 Thüngersheim,09364 8 08 80-0,
Entsorgungszentrum Vogelsberg (EZV),Top Partner,Entsorgungsbetriebe,"Alte Frankfurter Str.,",36318 Schwalmtal,06638 12 49,
Hamburger-Containerdienst Dennis Unterborn eK Containerdienst,Top Partner,Containerdienste,"Niendorfer Weg 11,",22453 Hamburg,040 6 00 71 08,
Kasper-Umzüge,Top Partner,Möbeltransporte,"Stolbergstr. 6,",22085 Hamburg,040 41 92 99 60,
Korn Hermann Rohstoffe Container,Top Partner,Entsorgungsbetriebe,"Jägerstr. 2,",96114 Hirschaid,09543 37 57,
Plail Sand- und Kieswerk,Top Partner,Sand und Kies,"Bamberger Str. 72,",91301 Forchheim,09191 54 53,
Hoffmann & Berger GmbH - Abschlepp- u. Bergungsdienst,Top Partner,Abschleppdienste,"Carl‑von‑Linde‑Str. 4,",19061 Schwerin,0385 71 95 10,
Auto- und Reifenservice Matzen,Top Partner,Autoreparaturen,"Beim Umspannwerk 153,",22844 Norderstedt,040 53 53 53 60,
Alfred Wende GmbH & Co. KG,Top Partner,Abbrucharbeiten,"Schimmelstr. 1,",36043 Fulda,0661 4 16 11,
Bergler GmbH,Top Partner,Metalle und Metallhalbzeuge,"Steinfels 30,",92708 Mantel,09605 92 42 62,
Bergler GmbH,Top Partner,Schrott,"Steinfels 30A,",92708 Mantel,09605 92 20 80,
Entsorgungszentrum Breinermoor,Top Partner,Entsorgungsbetriebe,"Deponiestr. 1,",26810 Westoverledingen,04955 92 86-17,http://www.all-leer.de
EWR-Entsorgungs-u-Wertstoffrückgew. Ges.mbH,Top Partner,Entsorgungsbetriebe,"Erkrather Landstr. 81,",40629 Düsseldorf,0211 9 24 24 87,
Floßdorf GmbH,Top Partner,Containerdienste,"Ringener Str. 56,",53474 Bad Neuenahr‑Ahrweiler,02641 9 77 60,
Heinz Baustoffe,Top Partner,Baubedarf,"Bunsenstr. 18,",85053 Ingolstadt,0841 9 66 23-0,http://www.heinz-baustoffe.de
"Hofmann, Friedrich GmbH",Top Partner,Container,"Frauenauracher Str. 73,",91056 Erlangen,09131 79 61-0,
Jaquemot B.,Top Partner,Schrott,"Buschhofer Weg 2,",52477 Alsdorf,0176 30 32 94 35,
Magnitz GmbH,Top Partner,Container,"Franz‑Heldmann‑Str. 58,",95643 Tirschenreuth,09631 70 31-0,
Neerstedt Müllumschlagstation,Top Partner,Wertstoffhöfe,"Kirchhatter Str. 8,",27801 Dötlingen,04432 91 28 48,http://www.oldenburg-kreis.de
Noris Metallrecycling GmbH,Top Partner,Schrott,"Industriestr. 4,",90765 Fürth,0911 3 06 07-0,
Pekutherm GmbH,Top Partner,Entsorgungsbetriebe,"Chauvignystr. 19,",65366 Geisenheim,06722 9 37 70 30,
Pirtek,Top Partner,Hydraulik,"Eiserfelder Str. 316,",57080 Siegen,0271 3 87 80 00,
"ROWE Gesellschaft für Rohstoffhandel, Wertstoffrecycling Entsorgung mbH",Top Partner,Entsorgungsbetriebe,"Duisburger Str. 120,",90451 Nürnberg,0911 6 42 90-0,
ROWE GmbH Containerdienst,Top Partner,Container,"Am Hafen 5,",91056 Erlangen,09131 3 70 13,
Rudolf Spichtinger GmbH,Top Partner,Abfallentsorgung,"Loisachauen 5,",82467 Garmisch‑Partenkirchen,,http://www.rudolf-spichtinger.de
Sand-Proß GmbH Sandgrube,Top Partner,Sand und Kies,,95473 Haag,09201 9 96-0,
SCD Proß GmbH,Top Partner,Erdbau,"Neuenreuther Str. 6,",95473 Haag,09201 7 99 52 11,
Wagner GmbH,Top Partner,Brennstoffe,"Carl‑Zeiss‑Str. 16‑18,",67227 Frankenthal (Pfalz),06233 7 31 21,
WILHELM HASENBACH Unternehmer Erich Arens GmbH,Top Partner,Sand und Kies,"Kesselheimer Weg 18,",56070 Koblenz,0261 8 13 78,
Gebr. Siebers Tiefbau GmbH,Top Partner,Tiefbau,"Kapellenhofstr. 100,",47474 Goch,02827 3 02 01-0,
Gebr. Siebers Tiefbau GmbH,Top Partner,Tiefbau,"Kapellenhofstr. 100,",47574 Goch,02827 9 25 86 01,
ASR GmbH & Co.KG,Top Partner,Autoteile und -zubehör,"Fichtenbreite 1,",06869 Coswig (Anhalt),034903 4 70-0,http://www.autoneuteile.de
Betrieb Abfallwirtschaft Nienburg/Weser,Top Partner,Entsorgungsbetriebe,"An der Steingrube 1‑3,",31582 Nienburg (Weser),05021 92 19-0,https://www.bawn.de
Bothur GmbH & Co. KG,Top Partner,Container,"Hohe Str. 12,",01558 Großenhain,03522 5 22 99-0,
Deppe-GmbH & Co. KG,Top Partner,Container,"Schillerstr. 25,",49811 Lingen,0591 7 10 30-0,http://www.deppe-lingen.de
Entsorgungs-Ges. Westmünsterland mbH,Top Partner,Wertstoffhöfe,"Brinkerhook 39,",48683 Ahaus,02567 9 64 36,http://www.egw.de
"equipmentschmiede.de - Reparaturen, Konstruktionen, Upcycling",Top Partner,Design,"Moritzwallstr. 21,",99089 Erfurt,0361 21 27 08 36,http://equipmentschmiede.de/
Haenes & Böhme GmbH,Top Partner,Container,"Tharandter Str. 37,",01159 Dresden,0351 4 21 53 67,
Hofmann Metall GmbH,Top Partner,Metallwaren,"Äußere Dresdner Str. 80,",08066 Zwickau,0375 27 13 46-0,
KBM Kurt Bosselmann Metallhandel GmbH,Top Partner,Autoverwertung,"Hamburger Str. 18,",29640 Schneverdingen,05199 2 79,
KBM Kurt Bosselmann Metallhandel GmbH,Top Partner,Autoverwertung,"Hamburger Str. 18,",29640 Schneverdingen,,
Schickert GmbH Erdbau,Top Partner,Erdbau,"Röttenbacher Str. 18,",91056 Erlangen,09135 71 06-0,
Schuster Entsorgung,Top Partner,Entsorgungsbetriebe,"Nürnberger Str. 37a,",90762 Fürth,0151 11 61 36 94,
Spille Jan Schmuckatelier,Top Partner,Schmuckwaren,"Friedensallee 8,",22765 Hamburg,040 18 20 98 38,
Stäblein GmbH,Top Partner,Alt- und Abfallstoffe,"Gartenstr. 14,",97659 Schönau,09775 3 45,
Strobl GmbH Entsorgungsfachbetrieb,Top Partner,Entsorgungsbetriebe,"Gerresheimer Str. 2,",92224 Amberg,0176 15 89 00 10,
Textil GmbH Textilsortierbetrieb,Top Partner,Alt- und Abfallstoffe,"Neuhofer Str. 16,",95473 Creußen,09270 9 80-0,
"Theißen Entsorgung und Verwertung GmbH, H.",Top Partner,Altpapier,"Peterskamp 18,",46414 Rhede,02872 95 01-0,http://www.theissen-entsorgung.de/
Franz Kolb GmbH & Co. KG,Top Partner,Transporte,,89290 Buch,,
A & P Drekopf GmbH & Co. KG,Top Partner,Aktenvernichtung,"Borsigstr. 30,",41066 Mönchengladbach,02161 68 94-0,
Abbau WiWA Wagner GmbH Abbrucharbeiten,Top Partner,Abbrucharbeiten,"Am Zeppelinpark 21,",13591 Berlin,030 3 64 81 00,http://www.abbau-wiwa-wagner.de
Abfallumladeanlage Bocholt EGB,Top Partner,Entsorgungsbetriebe,"Bovenkerkesch 14,",46395 Bocholt,02871 22 75 61,http://www.egb-bocholt.de
Abfallwirtschaft Rhein-Lahn-Kreis,Top Partner,Entsorgungsbetriebe,"Insel Silberau 1,",56130 Bad Ems,02603 97 23 01,
Abfallwirtschaftsgesellschaft Landkreis Schaumburg mbH (AWS),Top Partner,Alt- und Abfallstoffe,"Obere Wallstr. 3,",31655 Stadthagen,05721 97 05-52 20,http://www.aws-schaumburg.de
AbfallWirtschaftsGesellschaft mbH,Top Partner,Wertstoffhöfe,"Klövenhausen 20,",27211 Bassum,04241 8 01-0,http://www.awg-bassum.de
AbfallwirtschaftszentrumFriesland/Wittmund,Top Partner,Entsorgungsbetriebe,"Fuhlrieger Allee 3,",26434 Wangerland,04461 93 19-0,http://www.awz-wiefels.de
ADG Abfallwirtschaft Delmenhorst GmbH,Top Partner,Müllbeseitigungsanlagen,"Steller Str. 44‑34,",27755 Delmenhorst,04221 12 76-40 00,http://grafttherme.de
ALBA Metall Süd Rhein-Main GmbH,Top Partner,Schrott,"Carl‑Benz‑Str. 1,",60314 Frankfurt am Main,069 4 16 74 50,
Autorecycling Kempers GmbH,Top Partner,Autoverwertung,"Zwoller Str. 5,",49716 Meppen,05935 70 58 82,http://www.kempers.de
Baensch & Wippersteg GmbH,Top Partner,Entsorgungsbetriebe,"Rodendamm 11,",28816 Stuhr,0421 9 85 08 60,http://www.bw-entsorgung.de
Bauhof,Top Partner,Wertstoffhöfe,"Am Ohrt 10,",59469 Ense,02938 80 59 73,
"Becker GmbH, Paul",Top Partner,Gerüstbau und -vermietung,"Carl‑Benz‑Str. 1‑7,",79211 Denzlingen,07666 93 00-10,http://www.pb-becker.de
"Becker, Paul GmbH",Top Partner,Gerüstbau und -vermietung,"Rheinstr. 1,",77652 Offenburg,0781 9 70 91 00,http://www.pb-becker.de
Becker Umweltdienste GmbH,Top Partner,Entsorgungsbetriebe,"Am Schacht 1,",09618 Brand‑Erbisdorf,037322 5 82-0,
Born Nachf. GmbH & Co. KG,Top Partner,Containerdienste,"Alte Wetzlarer Str. 47,",35510 Butzbach,06033 9 73 74 80,
Bornefeld Helmut SchrottgroßHdlg.,Top Partner,Schrott,"Ahnfeldstr. 14,",40239 Düsseldorf,0211 62 37 18,
Brewitzer GmbH,Top Partner,Entsorgungsbetriebe,"Alte Amberger Str. 39,",92655 Grafenwöhr,09641 22 45,
Caritas Werkstätten St.Vinzenz,Top Partner,Werkstätten für Menschen mit Behinderung,"August‑Horch‑Str. 5‑7,",56812 Cochem,02671 98 06 53,
Containerdienst E. Kraus GmbH,Top Partner,Containerdienste,"Am Wellbach 8,",38685 Langelsheim,05326 25 60,http://www.containerdienst-ekraus.de
Eisen-Wolff GmbH,Top Partner,Eisen,"Försterkamp 13,",21149 Hamburg,040 7 96 86 60,
erutec GmbH,Top Partner,Entsorgungsbetriebe,"Schmidmühlener Str. 22,",93133 Burglengenfeld,09471 6 04 92-0,
Fehr Umwelt Ost GmbH Betriebsstätte Mittweida,Top Partner,Entsorgungsbetriebe,"Leipziger Str. 48,",09648 Mittweida,03727 94 24-0,
Fernkorn Albert e.K. Metallhandel u. Containerdienst,Top Partner,Containerdienste,"Rießnerstr. 1,",99427 Weimar,03643 20 26 11,http://www.fernkorn-weimar.de
Fiechtner Erdbau GmbH,Top Partner,Erdbau,"Sindelsdorfer Str. 9,",82392 Habach,08856 52 22,http://www.fiechtner-erdbau.de
Forberger Entsorgungsgesellschaft mbH,Top Partner,Entsorgungsbetriebe,"Radeburger Str. 34,",01689 Niederau,03521 7 19 57-1,
Ganz Rohstoffe GmbH,Top Partner,Schrott,"Fritschlachweg 15,",76189 Karlsruhe,0721 57 23 65,http://www.ganz-containerdienst.de
"GERAER Stadtwirtschaft GmbH, Sonderabfalldeponie Aga",Top Partner,Entsorgungsbetriebe,"Dorfstr.,",07548 Gera,036695 2 02 29,https://www.veolia.de/gud-gera
GL-Abbruch GmbH,Top Partner,Abbrucharbeiten,"Klosterallee 26,",73733 Esslingen am Neckar,0711 93 88 03-0,
Günter Jung GmbH,Top Partner,Steinbrüche,"Biggestr. 43,",57462 Olpe,02761 52 85,
Halberstädter Wertstoffhandel & Containerdienst GmbH & Co. KG,Top Partner,Wertstoffhöfe,"August‑Heine‑Weg 5,",38820 Halberstadt,03941 2 40 74,http://www.enwi-hz.de
Hilzinger Kunststoff-Fensterbau GmbH,Top Partner,Fenster,"Helgoländer Str. 21,",24768 Rendsburg,04331 1 48 07-0,
Hofmann Schrott KG,Top Partner,Schrott,"Walter‑Bothe‑Str. 10,",68169 Mannheim,0621 31 17 78,http://www.schrott-hofmann.de
JADE-STAHL GmbH Schrott Eisen,Top Partner,Schrott,"Emsstr. 29,",26382 Wilhelmshaven,04421 4 02-0,http://www.alba.info
"Jahnsmüller, Spranger",Top Partner,Autoverwertung,"Raasdorfer Str. 10,",08261 Schöneck/Vogtl.,037464 8 85 72,
Jakob Becker Entsorgungs-GmbH,Top Partner,Entsorgungsbetriebe,"Entenpfuhl 10,",67547 Worms,06241 4 09 40,
Kabelteam GmbH,Top Partner,Kabel,"Blumenstr. 47,",42477 Radevormwald,02195 20 58,
Karl Böttger GmbH Baustoffe,Top Partner,Baubedarf,"Rahlstedter Str. 32B,",22149 Hamburg,040 6 72 50 71,
Kreiswirtschaftsbetriebe Goslar (kAöR),Top Partner,Entsorgungsbetriebe,"Bornhardtstr. 13,",38644 Goslar,05321 3 76-7 37,http://www.kreiswirtschaftsbetriebe-goslar.de
Kundenservice Energieberatung,Top Partner,Energie- und Wasserversorgung,,82467 Garmisch‑Partenkirchen,08821 7 53-2 23,http://www.gw-gap.de
Leo Herrmann GmbH,Top Partner,Schrott,"Wiesenstr. 6,",36145 Hofbieber,06657 9 60 10,
Machulez GmbH,Top Partner,Schrott,"Baudirektor‑Hahn‑Str. 38,",27472 Cuxhaven,04721 74 44-70,http://www.machulez.de
Manfred v. Randow GmbH,Top Partner,Entsorgungsbetriebe,"Regensburger Ring 16,",91154 Roth,09171 9 89 13 60,
MKW-Materialkreislauf- u.,Top Partner,Entsorgungsbetriebe,"Hafen,",26571 Juist,04935 15 20,http://www.mkw-landkreis-aurich.de
MS Umweltservice GmbH,Top Partner,Umweltschutzberatung und -untersuchungen,"Bgm.‑Dr.‑Nebel‑Str. 18,",97816 Lohr,09352 6 05 77-0,
Nehlsen GmbH & Co. KG Niederlassung Nord-West Betriebsstätte Cappeln,Top Partner,Entsorgungsbetriebe,"In der Riede 3,",49692 Cappeln,04471 1 84 32-11,http://www.nehlsen.com
Neuert Raimund Rohstoffverwertungsgesellschaft mbH,Top Partner,Containerdienste,"Marienfelder Str. 5,",56070 Koblenz,0261 8 28 97,
Paul GmbH,Top Partner,Entsorgungsbetriebe,"Westring 8,",33142 Büren,02951 31 91,http://www.paul-entsorgung.de
Pfahler Müllabfuhr GmbH,Top Partner,Speditionen,"Gleiwitzer Str. 1,",91550 Dinkelsbühl,,
Pfahler Müllabfuhr GmbH,Top Partner,Entsorgungsbetriebe,"Mönchsrother Str. 29,",91550 Dinkelsbühl,09851 58 94 00-40,
Plastship GmbH,Top Partner,Kunststofferzeugnisse,"Auf der Lind 10,",65529 Waldems,06126 5 89 80 10,
Ratz-Fatz Transportunternehmen und Recyclinghandel,Top Partner,Speditionen,"Brandshofer Deich 33,",20539 Hamburg,040 22 60 82 29,
Recyclinghof der Abfallwirtschaft Wesermarsch,Top Partner,Wertstoffhöfe,"Am Leuchtturm 10,",27809 Lemwerder,0421 69 77 77,http://www.gib-entsorgung.de
RESO GmbH,Top Partner,Entsorgungsbetriebe,"Relystr. 14,",64720 Michelstadt,06061 9 60 00,
Rhiem & Sohn Kies u. Sand GmbH & Co. KG,Top Partner,Sand und Kies,"Luxemburger Str. 2a,",50374 Erftstadt,02235 9 55 36-0,
"Richter Tiefbau GmbH, Michael",Top Partner,Abbrucharbeiten,"Meßdornstr. 2,",33106 Paderborn,05254 64 08 60,http://www.michael-richter-gmbh.de
RKB Rohstoff-Kontor Braun GmbH,Top Partner,Schrott,"Hamburger Str. 6,",76726 Germersheim,07274 7 70 10 00,
RMD Rhein-Main Deponie GmbH,Top Partner,Entsorgungsbetriebe,"Steinmühlenweg 5,",65439 Flörsheim am Main,06145 9 26 00,
